NAME,DLC,COVENANT
Radial Tempering Blood Gemstone,0,0
Radial Cursed Tempering Blood Gemstone,0,0
Radial Tempering Damp Blood Gem,0,0
Radial Cursed Tempering Damp Blood Gem,0,0
Radial Adept Blood Gemstone,0,0
Radial Cursed Adept Blood Gemstone,0,0
Radial Adept Damp Blood Gem,0,0
Radial Cursed Adept Damp Blood Gem,0,0
Radial Fire Blood Gemstone,0,0
Radial Cursed Fire Blood Gemstone,0,0
Radial Cursed Fire Damp Blood Gem,0,0
Radial Nourishing Damp Blood Gem,0,0
Radial Cursed Nourishing Damp Blood Gem,0,0
Radial Odd Tempering Blood Gemstone,0,0
Radial Odd Tempering Damp Blood Gemstone,0,0
Radial Cursed Odd Tempering Damp Blood Gem,0,0
Radial Heavy Blood Gemstone,0,0
Radial Cursed Heavy Abyssal Blood Gem,0,0
Radial Sharp Blood Gemstone,0,0
Radial Cursed Sharp Damp Blood Gem,0,0
Radial Cold Blood Gemstone,0,0
Radial Murky Blood Gemstone,0,0
Radial Dirty Blood Gemstone,0,0
Radial Dirty Damp Blood Gemstone,0,0
Radial Beasthunter's Damp Blood Gem,0,0
Radial Kinhunter's Damp Blood Gem,0,0
Radial Striking Blood Gemstone,0,0
Radial Striking Damp Blood Gem,0,0
Radial Cursed Striking Blood Gemstone,0,0
Radial Radiant Blood Gemstone,0,0
Radial Cursed Radiant Damp Blood Gem,0,0
Radial Fool's Blood Gemstone,0,0
Radial Gold Blood Gem,0,0
Triangular Adept Blood Gemstone,0,0
Triangular Adept Damp Gemstone,0,0
Triangular Bolt Blood Gemstone,0,0
Triangular Cursed Fire Blood Gemstone,0,0
Triangular Cursed Murky Blood Gemstone,0,0
Triangular Cursed Tempering Blood Gemstone,0,0
Triangular Cursed Tempering Damp Blood Gem,0,0
Triangular Dirty Blood Gemstone,0,0
Triangular Fool's Blood Gemstone,0,0
Triangular Heavy Blood Gemstone,0,0
Triangular Murky Damp Blood Gem,0,0
Triangular Odd Arcane Damp Blood Gem,0,0
Triangular Sharp Blood Gemstone,0,0
Triangular Sharp Damp Blood Gem,0,0
Triangular Tempering Blood Gemstone,0,0
Triangular Tempering Damp Gemstone,0,0
Triangular Radiant Blood Gemstone,0,0
Triangular Cursed Poorman's Blood Gemstone,0,0
Triangular Arcane Blood Gemstone,0,0
Triangular Cold Blood Gemstone,0,0
Triangular Murky Blood Gemstone,0,0
Triangular Nourishing Blood Gemstone,0,0
Triangular Arcane Abyssal Blood Gem,0,0
Triangular Fire Blood Gemstone,0,0
Triangular Odd Fire Blood Gemstone,0,0
Waning Tempering Blood Gemstone,0,0
Waning Adept Blood Gemstone,0,0
Waning Fire Blood Gemstone,0,0
Waning Bolt Blood Gemstone,0,0
Waning Nourishing Blood Gemstone,0,0
Waning Odd Bloodtinge Blood Gemstone,0,0
Waning Odd Fire Blood Gemstone,0,0
Waning Odd Bolt Blood Gemstone,0,0
Waning Heavy Blood Gemstone,0,0
Waning Sharp Blood Gemstone,0,0
Waning Cold Blood Gemstone,0,0
Waning Murky Blood Gemstone,0,0
Waning Dirty Blood Gemstone,0,0
Waning Beasthunter's Blood Gemstone,0,0
Waning Kinhunter's Blood Gemstone,0,0
Waning Radiant Blood Gemstone,0,0
Waning Pulsing Blood Gemstone,0,0
Waning Fool's Blood Gemstone,0,0
Waning Poorman's Blood Gemstone,0,0
Circle Bloodtinge Gemstone,0,0
Circle Odd Bloodtinge Gemstone,0,0
Circle Warm Blood Gemstone,0,0
Circle Pulsing Blood Gem,0,0
Droplet Arcane Damp Blood Gem,0,0
Droplet Cursed Striking Blood Gemstone,0,0
Droplet Cursed Tempering Damp Blood Gem,0,0
Droplet Heavy Blood Gemstone,0,0
Droplet Tear Blood Gem,0,0
Droplet Warm Blood Gemstone,0,0
