NAME,DLC,COVENANT
Astral Clocktower Key,TRUE,FALSE
Balcony Key,TRUE,FALSE
Cainhurst Summons,FALSE,FALSE
Celestial Dial,TRUE,FALSE
Eye Pendant,TRUE,FALSE
Hunter Chief Emblem,FALSE,FALSE
Iron Door Key,FALSE,FALSE
Laurence's Skull,TRUE,FALSE
Lecture Theatre Key,FALSE,FALSE
Lunarium Key,FALSE,FALSE
Oedon Tomb Key,FALSE,FALSE
Old Hunter Bell,FALSE,FALSE
Orphanage Key,FALSE,FALSE
Queenly Flesh,FALSE,FALSE
Small Hair Ornament,FALSE,FALSE
Tonsil Stone,FALSE,FALSE
Underground Cell Key,TRUE,FALSE
Underground Cell Inner Chamber Key,TRUE,FALSE
Unopened Summons,FALSE,FALSE
Upper Cathedral Key,FALSE,FALSE
Yharnam Stone,FALSE,FALSE
Ring of Betrothal,FALSE,FALSE
Blood Gem Workshop Tool,FALSE,FALSE
Monocular,FALSE,FALSE
Rune Workshop Tool,FALSE,FALSE
Workshop Haze Extractor,FALSE,FALSE
Cainhurst Badge,FALSE,TRUE
Cosmic Eye Watcher Badge,FALSE,FALSE
Crow Hunter Badge,FALSE,FALSE
Firing Hammer Badge,TRUE,FALSE
Old Hunter Badge,FALSE,FALSE
Powder Keg Hunter Badge,FALSE,FALSE
Radiant Hunter Badge,FALSE,FALSE
Saw Hunter Badge,FALSE,FALSE
Spark Hunter Badge,FALSE,FALSE
Sword Hunter Badge,FALSE,FALSE
Wheel Hunter Badge,FALSE,FALSE
Red Messenger Ribbon,FALSE,FALSE
White Messenger Ribbon,FALSE,FALSE
Messenger Urn Festival,FALSE,FALSE
Black Messenger Hat,FALSE,FALSE
Messenger Top Hat,FALSE,FALSE
Bloody Messenger Head Bandage,FALSE,FALSE
