NAME,DLC,COVENANT
Anti-Clockwise Metamorphosis (1),0,0
Anti-Clockwise Metamorphosis (2),0,0
Anti-Clockwise Metamorphosis (3),0,0
Arcane Lake (1),0,0
Arcane Lake (2),0,0
Arcane Lake (3),0,0
Beast (1),0,0
Beast (2),0,0
Beast (3),0,0
Beast's Embrace,1,0
Blood Rapture (1),0,0
Blood Rapture (2),0,0
Blood Rapture (3),0,0
Clawmark (1),0,0
Clawmark (2),0,0
Clawmark (3),0,0
Clear Deep Sea (1),0,0
Clear Deep Sea (2),0,0
Clear Deep Sea (3),0,0
Clockwise Metamorphosis (1),0,0
Clockwise Metamorphosis (2),0,0
Clockwise Metamorphosis (3),0,0
Communion (1),0,0
Communion (2),0,0
Communion (3),0,0
Communion (4),0,0
Communion (5),0,0
Corruption,0,1
Deep Sea (1),0,0
Deep Sea (2),0,0
Deep Sea (3),0,0
Dissipating Lake (1),0,0
Dissipating Lake (2),0,0
Dissipating Lake (3),0,0
Eye (1),0,0
Eye (2),0,0
Eye (3),0,0
Fading Lake (1),0,0
Fading Lake (2),0,0
Fading Lake (3),0,0
Formless Oedon (1),0,0
Formless Oedon (2),0,0
Formless Oedon (3),0,0
Formless Oedon (4),0,0
Formless Oedon (5),0,0
Great Deep Sea (1),0,0
Great Deep Sea (2),0,0
Great Deep Sea (3),0,0
Great Lake (1),0,0
Great Lake (2),0,0
Great Lake (3),0,0
Guidance (1),1,0
Guidance (2),1,0
Guidance (3),1,0
Heir (1),0,0
Heir (2),0,0
Heir (3),0,0
Hunter,0,1
Impurity,1,1
Lake (1),0,0
Lake (2),0,0
Lake (3),0,0
Milkweed,1,0
Moon (1),0,0
Moon (2),0,0
Moon (3),0,0
Oedon Writhe (1),0,0
Oedon Writhe (2),0,0
Oedon Writhe (3),0,0
Radiance,0,0
Stunning Deep Sea (1),0,0
Stunning Deep Sea (2),0,0
Stunning Deep Sea (3),0,0
