NAME,DLC,COVENANT
Wanderer Hood,0,0
Thief Mask,0,0
Brigand Hood,0,0
Pharis's Hat,0,0
Sorcerer Hat,0,0
Tattered Cloth Hood,0,0
Priest's Hat,0,0
Standard Helm,0,0
Knight Helm,0,0
Shadow Mask,0,0
Black Sorcerer Hat,0,0
Six-Eyed Helm of the Channelers,0,0
Cleric Helm,0,0
Maiden Hood,0,0
Crown of Duck,0,0
Hollow Thief's Hood,0,0
Painting Guardian Hood,0,0
Hollow Warrior Helm,0,0
Hollow Soldier Helm,0,0
Dingy Hood,0,0
Crown of the Dark Sun,0,0
Big Hat,0,0
Gold-Hemmed Black Hood,0,0
Mask of the Sealer,0,0
Mask of Velka,0,0
Witch Hat,0,0
Xanthous Crown,0,0
Chain Helm,0,0
Crown of the Great Lord,0,0
Snickering Top Hat,1,0
Porcelain Mask,1,0
Iron Helm,0,0
Eastern Helm,0,0
Helm of the wise,0,0
Balder Helm,0,0
Helm of Thorns,0,0
Dark Mask,0,1
Elite Knight Helm,0,0
Ornstein's Helm,0,0
Crystalline Helm,0,0
Brass Helm,0,0
Helm of Favor,0,0
Catarina Helm,0,0
Silver Knight Helm,0,0
Black Knight Helm,0,0
Paladin Helm,0,0
Steel Helm,0,0
Helm of Artorias,1,0
Gough's Helm,1,0
Black Iron Helm,0,0
Giant Helm,0,0
Havel's Helm,0,0
Smough's Helm,0,0
Golem Helm,0,0
Stone Helm,0,0
Guardian Helm,1,0
Fang Boar Helm,0,0
Gargoyle Helm,0,0
Sunlight Maggot,0,0
Symbol of Avarice,0,0
Sack,0,0
Royal Helm,0,0
Mask of the Father,0,0
Mask of the Mother,0,0
Mask of the Child,0,0
Bloated Head,1,0
Bloated Sorcerer Head,1,0
Wanderer Coat,0,0
Black Leather Armor,0,0
Brigand Armor,0,0
Leather Armor,0,0
Sorcerer Cloak,0,0
Tattered Cloth Robe,0,0
Holy Robe,0,0
Hard Leather Armor,0,0
Knight Armor,0,0
Shadow Garb,0,0
Black Sorcerer Cloak,0,0
Maiden Robe,0,0
Antiquated Dress,0,0
Hollow Thief's Leather Armor,0,0
Painting Guardian Robe,0,0
Hollow Warrior Armor,0,0
Hollow Soldier Armor,0,0
Dingy Robe,0,0
Moonlight Robe,0,0
Sage Robe,0,0
Gold-Hemmed Black Cloak,0,0
Crimson Robe,0,0
Black Cleric Robe,0,0
Witch Cloak,0,0
Xanthous Overcoaat,0,0
Chain Armor,0,0
Robe of the Great Lord,0,0
Chester's Long Coat,1,0
Lord's Blade Robe,1,0
Armor of the Sun,0,0
Eastern Armor,0,0
Armor of the Glorious ,0,0
Balder Armor,0,0
Armor of Thorns,0,0
Dark Armor,0,1
Elite Knight Armor,0,0
Ornstein's Armor,0,0
Crystalline Armor,0,0
Brass Armor,0,0
Embraced Armor of Favor,0,0
Catarina Armor,0,0
Silver Knight Armor,0,0
Black Knight Armor,0,0
Paladin Armor,0,0
Steel Armor,0,0
Armor of Artorias,1,0
Gough's Armor,1,0
Black Iron Armor,0,0
Giant Armor,0,0
Havel's Armor,0,0
Smough's Armor,0,0
Golem Armor,0,0
Stone Armor,0,0
Guardian Armor,1,0
Wanderer Machette,0,0
Black Leather Gloves,0,0
Brigand Gauntlets,0,0
Leather Gloves,0,0
Sorcerer Gauntlets,0,0
Tattered Cloth Manchette,0,0
Travelling Gloves,0,0
Hard Leather Gloves,0,0
Knight Gauntlets,0,0
Shadow Gauntlets,0,0
Black Sorcerer Gauntlets,0,0
Gauntlets of the Channelers,0,0
Maiden Gloves,0,0
Antiquated Gloves,0,0
Painting Guardian Gloves,0,0
Dingy Gloves,0,0
Moonlight Gloves,0,0
Gold-Hemmed Black Gloves,0,0
Crimson Gloves,0,0
Black Manchette,0,0
Witch Gloves,0,0
Xanthous Gloves,0,0
Leather Gauntlets,0,0
Bracelet of the Great Lord,0,0
Chester's Gloves,1,0
Lord's Blade Gloves,1,0
Iron Bracelet,0,0
Eastern Gauntlets,0,0
Gauntlets of the Vanquisher,0,0
Balder gauntlets,0,0
Gauntlets of Thorns,0,0
Dark Gauntlets,0,1
Elite Knight Gauntlets,0,0
Orntein's Gauntlets,0,0
Crystalline Gauntlets,0,0
Brass Gauntlets,0,0
Gauntlets of Favor,0,0
Catarina Gauntlets,0,0
Silver Knight Gauntlets,0,0
Black Knight Gauntlets,0,0
Paladin Gauntlets,0,0
Steel Gauntlets,0,0
Gauntlets of Artorias,1,0
Gough's Gauntlets,1,0
Black Iron Gauntlets,0,0
Giant Gauntlets,0,0
Havel's Gauntlets,0,0
Smough's Gauntlets,0,0
Golem Gauntlets,0,0
Stone Gauntlets,0,0
Guardian Gauntlets,1,0
Wanderer Boots,0,0
Black Leather Boots,0,0
Brigand Trousers,0,0
Leather Boots,0,0
Sorcerer Boots,0,0
Heavy Boots,0,0
Holy Trousers,0,0
Hard Leather Boots,0,0
Knight Leggings,0,0
Shadow Leggings,0,0
Black Sorcerer Boots,0,0
Waistcloth of the Channelers,0,0
Maiden Skirt,0,0
Antiquated Skirt,0,0
Hollow Thief's Tights,0,0
Painting Gaurdian Waistcloth,0,0
Hollow Warrior Waistcloth,0,0
Hollow Soldier Waistcloth,0,0
Blood-Stained Skirt,0,0
Moonlight Waistcloth,0,0
Travelling Boots,0,0
Gold-Hemmed Black Skirt,0,0
Crimson Waistcloth,0,0
Black Tights,0,0
Witch Skirt,0,0
Xanthous Waistcloth,0,0
Chain Leggings,0,0
Anklet of the Great Lord,0,0
Chester's Trousers,1,0
Lord's Blade Waistcloth,1,0
Iron Leggings,0,0
Eastern Leggings,0,0
Boots of the Explorer,0,0
Balder Leggings,0,0
Leggings of Thorns,0,0
Dark Leggings,0,1
Elite Knight Leggings,0,0
Ornstein's Leggings,0,0
Crystalline Leggings,0,0
Brass Leggings,0,0
Leggings of Favor,0,0
Catarina Leggings,0,0
Silver Knight Leggings,0,0
Black Knight Leggings,0,0
Paladin Leggings,0,0
Steel Leggings,0,0
Leggings of Artorias,1,0
Gough's Leggins,1,0
Black Iron Leggings,0,0
Giant Leggings,0,0
Havel's Leggings,0,0
Smough's Leggings,0,0
Golem Leggings,0,0
Stone Leggings,0,0
Guardian Leggins,1,0
Egg Head,0,0
