NAME,DLC,COVENANT
Master Key,0,0
Gungeon Cell Key,0,0
Undead Asylum F2 East Key,0,0
Undead Asylum F2 West Key,0,0
Big Pilgrim's Key,0,0
Residence Key,0,0
Mystery Key,0,0
Basement Key,0,0
Key to Depths,0,0
Sewer Chamber Key,0,0
Blighttown Key,0,0
Watchtower Key,0,0
Watchtower Basement Key,0,0
Key to New Londo Ruins,0,0
Key to the Seal,0,0
Cage Key,0,0
Archive Tower Cell Key,0,0
Archives Prison Extra Key,0,0
Archive Tower Giant Cell Key,0,0
Annex Key,0,0
Crest of Artorias,0,0
Peculiar Doll,0,0
Broken Pendant,1,0
Crest Key,1,0
Large Ember,0,0
Very Large Ember,0,0
Divine Ember,0,0
Large Divine Ember,0,0
Dark Ember,0,0
Large Magic Ember,0,0
Enchanted Ember,0,0
Crystal Ember,0,0
Large Flame Ember,0,0
Chaos Flame Ember,0,0
Repairbox,0,0
Weapon Smithbox,0,0
Armor Smithbox,0,0
Bottomless Box,0,0
Rite of Kindling,0,0
Lordvessel,0,0
Soul of Four kings,0,0
Soul of Seath the Scaleless,0,0
Soul of Gravelord Nito,0,0
Soul of Bed of Chaos,0,0
Orange Guidance Soapstone,0,0
White Sign Soapstone,0,0
Red Sign Soapstone,0,0
Red Eye Orb,0,1
Blue Eye Orb,0,1
Dried Finger,0,0
Book of the Guilty,0,0
Indictment,0,0
Servant Roster,0,1
Dragon Eye,0,1
Purple Coward's Crystal,1,0
Binoculars,0,0
Skull Lantern,0,0
Dragon Head Stone,0,1
Dragon Torso Stone,0,1
Black Eye Orb,0,0
Silver Pendant,1,0
Hello Carving,1,0
I'm Sorry Carving,1,0
Very Good Carving,1,0
Help Me Carving,1,0
Thank You Carving,1,0
