NAME,DLC,COVENANT
Tiny Being's Ring,0,0
Cloranthy Ring,0,0
havel's Ring,0,0
Ring of Steel Protection,0,0
Spell Stoneplate Ring,0,0
Flame Stoneplate Ring,0,0
Thunder Stoneplate Ring,0,0
Speckled Stoneplate Ring,0,0
Bloodbite Ring,0,0
Poisonbite Ring,0,0
Curebite Ring,0,0
Red Tearstone Ring,0,0
Blue Tearstone Ring,0,0
Ring of Sacrifice,0,0
Rare Ring of Sacrifice,0,0
Bellowing Dragoncrest Ring,0,0
Lingering Dragoncrest Ring,0,0
Slumbering Dragoncrest Ring,0,0
Dusk Crown Ring,0,0
White Seance Ring,0,0
Darkmoon Seance Ring,0,0
Ring of the Sun's Firstborn,0,0
Darkmoon Blade Covenant Ring,0,1
Ring of the Sun Princess,0,1
Leo Ring,0,0
Wolf Ring,0,0
Hawk Ring,0,0
Hornet Ring,0,0
East Wood Grain Ring,0,1
Dark Wood Grain Ring,0,1
Rusted Iron Ring,0,0
Covetous Gold Serpent Ring,0,0
Covetous Silver Serpent Ring,0,0
Covenant of Artorias,0,0
Orange Charred Ring,0,0
Old Witch's Ring,0,0
Cat Covenant Ring,0,0
Ring of Favor and Protection,0,0
Ring of the Evil Eye,0,0
Calamity Ring,1,0
