NAME,DLC,COVENANT
Soul Arrow,0,0
Great Soul Arrow,0,0
Heavy Soul Arrow,0,0
Great Heavy Soul Arrow,0,0
Homing Soulmass,0,0
Homing Crystal Soulmass,0,0
Soul Spear,0,0
Crystal Soul Spear,0,0
White Dragon Breath,0,0
Magic Weapon,0,0
Great Magic Weapon,0,0
Crystal Magic Weapon,0,0
Magic Shield,0,0
Strong Magic Shield,0,0
Aural Decoy,0,0
Hush,0,0
Fall Control,0,0
Hidden Weapon,0,0
Hidden Body,0,0
Repair,0,0
Cast Light,0,0
Chameleon,0,0
Remedy,0,0
Resist Curse,0,0
Dark Orb,1,0
Dark Bead,1,0
Dark Fog,1,0
Pursuers,1,0
Fireball,0,0
Fire Orb,0,0
Great Fireball,0,0
Great Chaos Fireball,0,1
Firestorm,0,0
Fire Tempest,0,0
Chaos Storm,0,1
Combustion,0,0
Great Combustion,0,0
Fire Surge,0,0
Fire Whip,0,0
Chaos Fire Whip,0,0
Poison Mist,0,0
Toxic Mist,0,1
Acid Surge,0,0
Flash Sweat,0,0
Iron Flesh,0,0
Power Within,0,0
Undead Rapport,0,0
Black Flame,1,0
Heal,0,0
Great Heal Excerpt,0,0
Great Heal Excerpt,0,0
Soothing Sunlight,0,0
Replenishment,0,0
Bountiful Sunlight,0,0
Force,0,0
Wrath of the Gods,0,0
Emit Force,0,0
Magic Barrier,0,0
Great Magic Barrier,0,0
Homeward,0,0
Seek Guidance,0,0
Karmic justice,0,0
Vow of Silence,0,0
Tranquil Walk of Peace,0,0
Lightning Spear,0,1
Great Lightning Spear,0,1
Sunlight Spear,0,1
Sunlight Blade,0,0
Darkmoon Blade,0,1
Gravelord Sword Dance,0,1
Gravelord Greatsword Dance,0,1
