NAME,DLC,COVENANT,SCHOLAR
Agdayne's Black Robe,0,0,0
Agdayne's Cuffs,0,0,0
Agdayne's Black Kilt,0,0,0
Alonne Captain Helm,0,0,0
Alonne Captain Armor,0,0,0
Alonne Knight Gauntlets,0,0,0
Alonne Knight Leggings,0,0,0
Alonne Knight Helm,0,0,0
Alonne Knight Armor,0,0,0
Alva Helm,0,0,0
Alva Armor,0,0,0
Alva Gauntlets,0,0,0
Alva Leggings,0,0,0
Archdrake Helm,0,0,0
Archdrake Robes,0,0,0
Archdrake Gloves,0,0,0
Hood of the Forlorn,0,0,1
Armor of the Forlorn,0,0,1
Gauntlets of the Forlorn,0,0,1
Leggings of the Forlorn,0,0,1
Moon Butterfly Hat,0,0,0
Moon Butterfly Wings,0,0,0
Moon Butterfly Cuffs,0,0,0
Moon Butterfly Skirt,0,0,0
Grave Warden Mask,0,0,0
Grave Warden Top,0,0,0
Grave Warden Cuffs,0,0,0
Grave Warden Bottoms,0,0,0
Nahr Alma Hood,0,0,0
Nahr Alma Robes,0,0,0
Gyrm Helm,0,0,0
Gyrm Armor,0,0,0
Gyrm Gloves,0,0,0
Gyrm Boots,0,0,0
Old Ironclad Helm,0,0,0
Old Ironclad Armor,0,0,0
Old Ironclad Gauntlets,0,0,0
Old Ironclad Leggings,0,0,0
Gyrm Warrior Helm,0,0,0
Gyrm Warrior Armor,0,0,0
Gyrm Warrior Gloves,0,0,0
Gyrm Warrior Boots,0,0,0
Gyrm Warrior Greathelm,0,0,0
Old Knight Helm,0,0,0
Old Knight Armor,0,0,0
Old Knight Gauntlets,0,0,0
Old Knight Leggings,0,0,0
Standard Helm,0,0,0
Hard Leather Armor,0,0,0
Hard Leather Gauntlets,0,0,0
Hard Leather Boots,0,0,0
Pate's Helm,0,0,0
Pate's Armor,0,0,0
Pate's Gloves,0,0,0
Pate's Trousers,0,0,0
Moon Hat,0,0,0
Astrologist's Robe,0,0,0
Astrologist's Gauntlets,0,0,0
Astrologist's Bottoms,0,0,0
Havel's Helm,0,0,0
Havel's Armor,0,0,0
Havel's Gauntlets,0,0,0
Havel's Leggings,0,0,0
Peasant Hat,0,0,0
Peasant Attire,0,0,0
Peasant Long Gloves,0,0,0
Peasant Trousers,0,0,0
Helm of Aurous,0,0,0
Armor of Aurous,0,0,0
Gauntlets of Aurous,0,0,0
Leggings of Aurous,0,0,0
Helm of Aurous (invisible),0,0,0
Armor of Aurous (invisible),0,0,0
Gauntlets of Aurous (invisible),0,0,0
Leggings of Aurous (invisible),0,0,0
Heide Knight Greathelm,0,0,0
Heide Knight Chainmail,0,0,0
Heide Knight Gauntlets,0,0,0
Heide Knight Leggings,0,0,0
Penal Mask,0,0,0
Penal Straightjacket,0,0,0
Penal Handcuffs,0,0,0
Penal Skirt,0,0,0
Spiked Bandit Helm,0,0,0
Bandit Armor,0,0,0
Bandit Gauntlets,0,0,0
Bandit Boots,0,0,0
Hexer's Hood,0,0,0
Hexer's Robes,0,0,0
Hexer's Gloves,0,0,0
Hexer's Boots,0,0,0
Priestess Headpiece,0,0,0
Priestess Robe,0,0,0
Priestess Gloves,0,0,0
Priestess Skirt,0,0,0
Bell Keep Helmet,0,1,0
Bell Keeper Bellyband,0,1,0
Bell Keeper Cuffs,0,1,0
Bell Keeper Trousers,0,1,0
Hollow Infantry Helm,0,0,0
Hollow Infantry Armor,0,0,0
Hollow Infantry Gloves,0,0,0
Hollow Infantry Boots,0,0,0
Prisoner's Hood,0,0,0
Prisoner's Tatters,0,0,0
Prisoner's Gloves,0,0,0
Prisoner's Waistcloth,0,0,0
Benhart's Helm,0,0,0
Benhart's Armor,0,0,0
Benhart's Gauntlets,0,0,0
Benhart's Boots,0,0,0
Hollow Soldier Helmet,0,0,0
Hollow Soldier Armor,0,0,0
Hollow Soldier Gauntlets,0,0,0
Hollow Soldier Leggings,0,0,0
Rogue Hood,0,0,0
Rogue Armor,0,0,0
Rogue Gauntlets,0,0,0
Rogue Leggings,0,0,0
Black Dragon Helm,0,1,0
Black Dragon Armor,0,1,0
Black Dragon Gauntlets,0,1,0
Black Dragon Leggings,0,1,0
Hunter's Hat,0,0,0
Leather Armor,0,0,0
Leather Gloves,0,0,0
Hunter Leggings,0,0,0
Royal Soldier Helm,0,0,0
Royal Soldier Armor,0,0,0
Royal Soldier Gauntlets,0,0,0
Royal Soldier Leggings,0,0,0
Black Hollow Mage Hood,0,0,0
Black Hollow Mage Robe,0,0,0
Imperious Helm,0,0,0
Imperious Armor,0,0,0
Imperious Gauntlets,0,0,0
Imperious Leggings,0,0,0
Royal Swordman Helm,0,0,0
Royal Swordsman Armor,0,0,0
Royal Swordsman Gloves,0,0,0
Royal Swordsman Leggings,0,0,0
Thief Mask,0,0,0
Black Leather Armor,0,0,0
Black Leather Gloves,0,0,0
Black Leather Boots,0,0,0
Ruin Helm,0,0,0
Ruin Armor,0,0,0
Ruin Gauntlets,0,0,0
Ruin Leggings,0,0,0
Black Hood,0,0,0
Black Robes,0,0,0
Black Gloves,0,0,0
Black Boots,0,0,0
Infantry Helm,0,0,0
Infantry Armor,0,0,0
Infantry Gloves,0,0,0
Infantry Boots,0,0,0
Rusted Mastodon Helm,0,0,0
Rusted Mastodon Armor,0,0,0
Rusted Mastodon Gauntlets,0,0,0
Rusted Mastodon Leggings,0,0,0
Black Witch Hat,0,0,0
Black Witch Robe,0,0,0
Black Witch Gloves,0,0,0
Black Witch Trousers,0,0,0
Black Witch Veil,0,0,0
Domino Mask,0,0,0
Insolent Helm,0,0,0
Insolent Armor,0,0,0
Insolent Gloves,0,0,0
Insolent Boots,0,0,0
Saint's Hood,0,0,0
Saint's Dress,0,0,0
Saint's Long Gloves,0,0,0
Saint's Trousers,0,0,0
Bone Crown,0,0,0
Bone King Robe,0,0,0
Bone King Cuffs,0,0,0
Bone King Skirt,0,0,0
Ironclad Helm,0,0,0
Ironclad Armor,0,0,0
Ironclad Gauntlets,0,0,0
Ironclad Leggings,0,0,0
Shadow Mask,0,0,0
Shadow Top,0,0,0
Shadow Gauntlets,0,0,0
Shadow Leggings,0,0,0
Brigand Hood,0,0,0
Brigand Armor,0,0,0
Brigand Gauntlets,0,0,0
Brigand Trousers,0,0,0
Jester's Cap,0,0,0
Jester's Robes,0,0,0
Jester's Gloves,0,0,0
Jester's Tights,0,0,0
Smelter Demon Helm,0,0,0
Smelter Demon Armor,0,0,0
Smelter Demon Gauntlets,0,0,0
Smelter Demon Leggings,0,0,0
Cale's Helm,0,0,0
Cale's Leather Armor,0,0,0
Cale's Shoes,0,0,0
Mask of Judgement,0,0,0
Robe of Judgement,0,0,0
Manchettes of Judgement,0,0,0
Tights of Judgement,0,0,0
Steel Helm,0,0,0
Steel Armor,0,0,0
Steel Gauntlets,0,0,0
Steel Leggings,0,0,0
Catarina Helm,0,0,0
Catarina Armor,0,0,0
Catarina Gauntlets,0,0,0
Catarina Leggings,0,0,0
King's Crown,0,0,0
King's Armor,0,0,0
King's Gauntlets,0,0,0
King's Leggings,0,0,0
Syan's Helm,0,0,0
Syan's Armor,0,0,0
Syan's Gauntlets,0,0,0
Syan's Leggings,0,0,0
Chaos Hood,0,0,0
Chaos Robe,0,0,0
Chaos Gloves,0,0,0
Chaos Boots,0,0,0
Knight Helm,0,0,0
Knight Armor,0,0,0
Knight Gauntlets,0,0,0
Knight Leggings,0,0,0
Targray's Helm,0,0,0
Targray's Armor,0,0,0
Targray's Manifers,0,0,0
Targray's Leggings,0,0,0
Creighton's Steel Mask,0,0,0
Creighton's Chainmail,0,0,0
Creighton's Chain Gloves,0,0,0
Creighton's Chain Leggings,0,0,0
Leydia Black Hood,0,0,0
Leydia Black Robe,0,0,0
Tattered Cloth Hood,0,0,0
Tattered Cloth Robe,0,0,0
Tattered Cloth Manchettes,0,0,0
Heavy Boots,0,0,0
Dark Mask,0,0,0
Dark Armor,0,0,0
Dark Gauntlets,0,0,0
Dark Leggings,0,0,0
Throne Defender Helm,0,0,0
Throne Defender Armor,0,0,0
Throne Defender Gauntlets,0,0,0
Throne Defender Leggings,0,0,0
Leydia White Hood,0,0,0
Leydia White Robe,0,0,0
Leydia Gauntlets,0,0,0
Desert Sorceress Hood,0,0,0
Desert Sorceress Top,0,0,0
Desert Sorceress Gloves,0,0,0
Desert Sorceress Skirt,0,0,0
Lion Mage Robe,0,0,0
Lion Mage Cuffs,0,0,0
Lion Mage Skirt,0,0,0
Throne Watcher Helm,0,0,0
Throne Watcher Armor,0,0,0
Throne Watcher Gauntlets,0,0,0
Throne Watcher Leggings,0,0,0
Dragon Acolyte Mask,0,0,0
Dragon Acolyte Robe,0,0,0
Dragon Acolyte Gloves,0,0,0
Dragon Acolyte Boots,0,0,0
Lion Warrior Helm,0,0,0
Lion Warrior Cape,0,0,0
Lion Warrior Cuffs,0,0,0
Lion Warrior Skirt,0,0,0
Traveling Merchant Hat,0,0,0
Traveling Merchant Coat,0,0,0
Traveling Merchant Gloves,0,0,0
Traveling Merchant Boots,0,0,0
Dragonrider Helm,0,0,0
Dragonrider Armor,0,0,0
Dragonrider Gauntlets,0,0,0
Dragonrider Leggings,0,0,0
Llewellyn Armor,0,0,0
Llewellyn Gloves,0,0,0
Llewellyn Shoes,0,0,0
Tseldora Cap,0,0,0
Tseldora Robe,0,0,0
Tseldora Manchettes,0,0,0
Tseldora Trousers,0,0,0
Drakekeeper Helm,0,0,0
Drakekeeper Armor,0,0,0
Drakekeeper Gauntlets,0,0,0
Drakekeeper Boots,0,0,0
Looking Glass Helm,0,0,0
Looking Glass Armor,0,0,0
Looking Glass Gauntlets,0,0,0
Looking Glass Leggings,0,0,0
Varangian Helm,0,0,0
Varangian Armor,0,0,0
Varangian Cuffs,0,0,0
Varangian Leggings,0,0,0
Drangleic Helm,0,0,0
