NAME,DLC,COVENANT,ONLINE
Agape Ring,0,0,0
Life Ring,0,0,0
Life Ring +1,0,0,0
Life Ring +2,0,0,0
Life Ring +3,1,0,0
Chloranthy Ring,0,0,0
Chloranthy Ring +1,0,0,0
Chloranthy Ring +2,0,0,0
Royal Soldier's Ring,0,0,0
Royal Soldier's Ring +1,0,0,0
Royal Soldier's Ring +2,0,0,0
First Dragon Ring,0,1,0
Second Dragon Ring,0,0,0
Third Dragon Ring,0,0,0
Ring of Steel Protection,0,0,0
Ring of Steel Protection +1,0,0,0
Ring of Steel Protection +2,0,0,0
Spell Quartz Ring,0,0,0
Spell Quartz Ring +1,0,0,0
Spell Quartz Ring +2,0,0,0
Spell Quartz Ring +3,1,0,0
Flame Quartz Ring,0,0,0
Flame Quartz Ring +1,0,0,0
Flame Quartz Ring +2,0,0,0
Flame Quartz Ring +3,1,0,0
Thunder Quartz Ring,0,0,0
Thunder Quartz Ring +1,0,0,0
Thunder Quartz Ring +2,0,0,0
Thunder Quartz Ring +3,1,0,0
Dark Quartz Ring,0,0,0
Dark Quartz Ring +1,0,0,0
Dark Quartz Ring +2,0,0,0
Dark Quartz Ring +3,1,0,0
Poisonbite Ring,0,0,0
Poisonbite Ring +1,1,0,0
Bloodbite Ring,0,0,0
Bloodbite Ring +1,1,0,0
Cursebite Ring,0,0,0
Bracing Knuckle Ring,0,0,0
Bracing Knuckle Ring +1,0,0,0
Bracing Knuckle Ring +2,0,0,0
Ash Knuckle Ring,0,0,0
Dispelling Ring,0,0,0
Dispelling Ring +1,1,0,0
Ring of Resistance,0,0,0
Ring of Resistance +1,1,0,0
Ring of Blades,0,0,0
Ring of Blades +1,0,0,0
Ring of Blades +2,0,0,0
Ring of Knowledge,0,0,0
Ring of Prayer,0,0,0
Stone Ring,0,0,0
Red Tearstone Ring,0,0,0
Blue Tearstone Ring,0,0,0
Ring of Giants,0,0,0
Ring of Giants +1,0,0,0
Ring of Giants +2,0,0,0
Old Leo Ring,0,0,0
Ring of Soul Protection,0,0,0
Ring of Life Protection,0,0,0
Lingering Dragoncrest Ring,0,0,0
Lingering Dragoncrest Ring +1,0,0,0
Lingering Dragoncrest Ring +2,0,0,1
Clear Bluestone Ring,0,0,0
Clear Bluestone Ring +1,0,0,0
Clear Bluestone Ring +2,0,0,0
Northern Ritual Band,0,0,0
Northern Ritual Band +1,0,0,0
Northern Ritual Band +2,0,0,0
Southern Ritual Band,0,0,0
Southern Ritual Band +1,0,0,0
Southern Ritual Band +2,0,0,0
Covetous Gold Serpent Ring,0,0,0
Covetous Gold Serpent Ring +1,0,0,0
Covetous Gold Serpent Ring +2,0,0,0
Covetous Silver Serpent Ring,0,0,0
Covetous Silver Serpent Ring +1,0,0,0
Covetous Silver Serpent Ring +2,0,0,0
Ring of the Evil Eye,0,0,0
Ring of the Evil Eye +1,0,0,0
Ring of the Evil Eye +2,0,0,0
Ring of Restoration,0,0,0
Ring of Binding,0,0,0
Silvercat Ring,0,0,0
Redeye Ring,0,0,0
Gower's Ring of Protection,0,0,0
Name-engraved Ring,0,0,0
Slumbering Dragoncrest Ring,0,1,0
Hawk Ring,0,0,0
Old Sun Ring,0,0,0
Illusory Ring of a Conqueror,0,0,0
Illusory Ring of the Exalted,0,0,0
Ring of the Dead,0,0,0
Ring of Thorns,0,0,0
Ring of Thorns +1,0,0,0
Ring of Thorns +2,0,0,1
Delicate String,0,0,0
White Ring,0,0,0
Ring of Whispers,0,0,0
King's Ring,0,0,0
Blue Seal,0,0,0
Guardian's Seal,0,0,0
Crest of Blood,0,0,0
Crest of the Rat,0,0,0
Bell Keeper's Seal,0,0,0
Sun Seal,0,0,0
Vanquisher's Seal,0,1,0
Ancient Dragon Seal,0,0,0
Abyss Seal,0,0,0
Lightning Clutch Ring,1,0,0
Sorcery Clutch Ring,1,0,0
Dark Clutch Ring,1,0,0
Fire Clutch Ring,1,0,0
Flynn's Ring,1,0,0
Ring of the Embedded,1,0,0
Yorgh's Ring,1,0,0
Strength Ring,1,0,0
Simpleton's Ring,1,0,0
Ring of the Living,1,0,0
Ivory Warrior Ring,1,0,0
Dexterity Ring,1,0,0
Baneful Bird Ring,1,0,0
