NAME,DLC,COVENANT,SCHOLAR
Dagger,0,0,0
Royal Dirk,0,0,0
Black Flamestone Dagger,0,0,1
Parrying Dagger,0,0,0
Bandit's Knife,0,0,0
Mytha's Bent Blade,0,0,0
Shadow Dagger,0,0,0
Thief Dagger,0,0,0
Broken Thief Sword,0,0,0
Manikin Knife,0,0,0
Umbral Dagger,1,0,0
Blue Dagger,1,0,0
Retainer's Short Sword,1,0,0
Shortsword,0,0,0
Longsword,0,0,0
Yellow Quartz Longsword,0,0,1
Black Dragon Sword,0,0,0
Broken Straight Sword,0,0,0
Broadsword,0,0,0
Foot Soldier Sword,0,0,0
Varangian Sword,0,0,0
Heide Knight Sword,0,0,0
Blue Flame,0,0,0
Red Rust Sword,0,0,0
Sun Sword,0,1,0
Drakekeeper's Sword,0,0,0
Puzzling Stone Sword,1,0,0
Ashen Warrior Sword,1,0,0
Fume Sword,1,0,0
Possessed Armor Sword,1,0,0
Ivory Straight Sword,1,0,0
Bastard Sword,0,0,0
Bluemoon Greatsword,0,0,0
Claymore,0,0,0
Flamberge,0,0,0
Drangleic Sword,0,0,0
Thorned Greatsword,0,0,0
Moonlight Greatsword,0,0,0
Mastodon Greatsword,0,0,0
Ruler's Sword,0,0,0
Mirrah Greatsword,0,0,0
Old Mirrah Greatsword,0,0,0
Black Dragon Greatsword,0,0,0
Black Knight Greatsword,0,0,0
Royal Greatsword,0,0,0
Old Knight Greatsword,0,0,0
Defender Greatsword,0,0,0
Watcher Greatsword,0,0,0
Key to the Embedded,0,0,0
Drakeblood Greatsword,1,0,0
Majestic Greatsword,1,0,0
Charred Loyce Greatsword,1,0,0
Loyce Greatsword,1,0,0
Greatsword of the Forlorn,0,0,1
Pursuer's Ultra Greatsword,0,0,0
Zweihander,0,0,0
Drakewing Ultra Greatsword,0,0,0
King's Ultra Greatsword,0,0,0
Drakekeeper's Ultra Greatsword,0,0,0
Old Knight Ultra Greatsword,0,0,0
Black Knight Ultra Greatsword,0,0,0
Greatsword,0,0,0
Smelter Sword,0,0,0
Crypt BlackSword,0,0,0
Lost Sinner's Sword,0,0,0
Fume Ultra Greatsword,1,0,0
Aged Smelter Sword,1,0,0
Ivory King Ultra Greatsword,1,0,0
Scimitar,0,0,0
Red Rust Scimitar,0,0,0
Spider Fang,0,0,0
Melu Scimitar,0,0,0
Monastery Scimitar,0,0,0
Falchion,0,0,0
Shotel,0,0,0
Warped Sword,0,0,0
Manikin Sabre,0,0,0
Eleum Loyce,1,0,0
Murakumo,0,0,0
Arced Sword,0,0,0
Curved Dragon Greatsword,0,0,0
Curved Nil Greatsword,1,0,0
Uchigatana,0,0,0
Washing Pole,0,0,0
Chaos Blade,0,0,0
Blacksteel Katana,0,0,0
Manslayer,0,0,0
Berserker Blade,0,0,0
Darkdrift,0,0,0
Bewitched Alonne Sword,1,0,0
Estoc,0,0,0
Mail Breaker,0,0,0
Rapier,0,0,0
Ricard's Rapier,0,0,0
Chaos Rapier,0,0,0
Black Scorpion Stinger,0,0,0
Spider's Silk,0,0,0
Espada Ropera,0,0,0
Ice Rapier,1,0,0
Dragonslayer's Crescent Axe,0,0,0
Bound Hand Axe,0,0,1
Hand Axe,0,0,0
Battle Axe,0,0,0
Bandit Axe,0,0,0
Infantry Axe,0,0,0
Gyrm Axe,0,0,0
Butcher's Knife,0,0,0
Greataxe,0,0,0
Bandit Greataxe,0,0,0
Lion Greataxe,0,0,0
Giant Stone Axe,0,0,0
Gyrm Greataxe,0,0,0
Black Dragon Greataxe,0,0,0
Black Knight Greataxe,0,0,0
Drakekeeper's Greataxe,0,0,0
Crescent Axe,0,0,0
Homunculus Mace,0,0,1
Craftman's Hammer,0,0,0
Mace,0,0,0
Club,0,0,0
Morning Star,0,0,0
Reinforced Club,0,0,0
Mace of the Insolent,0,0,0
Handmaid's Ladle,0,0,0
Blacksmith's Hammer,0,0,0
Black Dragon Warpick,0,0,0
Aldia Hammer,0,0,0
Barbed Club,0,0,0
Large Club,0,0,0
Great Club,0,0,0
Gyrm Great Hammer,0,0,0
Iron King Hammer,0,0,0
Malformed Shell,0,0,0
Malformed Skull,0,0,0
Dragon Tooth,0,0,0
Giant Warrior Club,0,0,0
Demon's Great Hammer,0,0,0
Archdrake Mace,0,0,0
Old Knight Hammer,0,0,0
Drakekeeper's Great Hammer,0,0,0
Sacred Chime Hammer,0,0,0
Drakekeeper's Warpick,0,0,0
Pickaxe,0,0,0
Sanctum Mace,1,0,0
Smelter Hammer,1,0,0
Caestus,0,0,0
Claws,0,0,0
Malformed Claws,0,0,0
Manikin Claws,0,0,0
Work Hook,0,0,0
Bone Fist,1,0,0
Winged Spear,0,0,0
Partizan,0,0,0
Spear,0,0,0
Pike,0,0,0
Stone Soldier Spear,0,0,0
Silverback Spear,0,0,0
Heide Spear,0,0,0
Pate's Spear,0,0,0
Channeler's Trident,0,0,0
Spitfire Spear,0,0,0
Dragonslayer Spear,0,0,0
Gargoyle Bident,0,0,0
Pilgrim's Spontoon,1,0,0
Yorgh's Spear,1,0,0
Dragonrider's Halberd,0,0,0
Halberd,0,0,0
Lucerne,0,0,0
Scythe,0,0,0
Mastodon Halberd,0,0,0
Santier's Spear,0,0,0
Blue Knight's Halberd,0,0,0
Old Knight Halberd,0,0,0
Old Knight Pike,0,0,0
Syan's Halberd,0,0,0
Black Knight Halberd,0,0,0
Foaring Halberd,0,0,0
Helix Halberd,0,0,0
Wrathful Axe,1,0,0
Heide Lance,0,0,0
Heide Greatlance,0,0,0
Grand Lance,0,0,0
Chariot Lance,0,0,0
Rampart Golem Lance,1,0,0
Crescent Sickle,0,0,0
Great Scythe,0,0,0
Silverback Sickle,0,0,0
Great Machete,0,0,0
Full Moon Sickle,0,0,0
Scythe of Nahr Alma,0,0,0
Bone Scythe,0,0,0
Scythe of Want,0,0,0
Scythe of the Forlorn,0,0,1
Twinblade,0,0,0
Stone Twinblade,0,0,0
Dragonrider Twinblade,0,0,0
Red Iron Twinblade,0,0,0
Curved Twinblade,0,0,0
Sorcerer's Twinblade,1,0,0
Whip,0,0,0
Notched Whip,0,0,0
Bloodied Whip,0,0,0
Spotted Whip,0,0,0
Old Whip,0,0,0
Short Bow,0,0,0
Long Bow,0,0,0
Composite Bow,0,0,0
Sea Bow,0,0,0
Dragonrider Bow,0,0,0
Bell Keeper Bow,0,0,0
Bow of Want,0,0,0
Hunter's Blackbow,0,0,0
Alonne Greatbow,0,0,0
Dragonslayer Greatbow,0,0,0
Possessed Armor Greatbow,1,0,0
Twin-Headed Greatbow,1,0,0
Light Crossbow,0,0,0
Heavy Crossbow,0,0,0
Shield Crossbow,0,0,0
Avelyn,0,0,0
Sanctum Repeating Crossbow,1,0,0
Sanctum Crossbow,1,0,0
Witchtree Branch,0,0,0
Lizard Staff,0,0,0
Transgressor's Staff,0,0,1
Sorcerer's Staff,0,0,0
Staff of Amana,0,0,0
Olenford's Staff,0,0,0
Archdrake Staff,0,0,0
Bat Staff,0,0,0
Bone Staff,0,0,0
Staff of Wisdom,0,0,0
Sunset Staff,0,0,0
Black Witch's Staff,0,0,0
Azal's Staff,1,0,0
Retainer Staff,1,0,0
Pyromancy Flame,0,0,0
Dark Pyromancy Flame,0,0,0
Cleric's Sacred Chime,0,0,0
Witchtree Bellvine,0,0,0
Priest's Chime,0,0,0
Dragon Chime,0,0,0
Chime of Want,0,0,0
Archdrake Chime,0,0,0
Idol's Chime,0,0,0
Caitha's Chime,0,0,0
Protective Chime,0,0,0
Disc Chime,0,0,0
Chime of Screams,1,0,0
Buckler,0,0,0
Small Leather Shield,0,0,0
Target Shield,0,0,0
Crimson Parma,0,0,0
Iron Parma,0,0,0
Foot Soldier Shield,0,0,0
Manikin Shield,0,0,0
Golden Falcon Shield,0,0,0
Benhart's Parma,0,0,0
Llewellyn Shield,0,0,0
Cleric's Parma,0,0,0
Cleric's Small Shield,0,0,0
Magic Shield,0,0,0
Cursed Bone Shield,0,0,0
Varangian Shield,0,0,0
Watcher's Shield,0,0,0
Phoenix Parma,0,0,0
Sunlight Parma,0,1,0
