NAME,DLC,COVENANT
Dark Sigil,0,0
Tower Key,0,0
Small Lothric Banner,0,0
Great Swamp Pyromancy Tome,0,0
Lift Chamber Key,0,0
Braille Divine Tome of Carim,0,0
Sage's Scroll,0,0
Cell Key,0,0
Fire Keeper Soul,0,0
Grave Key,0,0
Londor Braille Divine Tome,0,0
Deep Braille Divine Tome,0,0
Small Doll,0,0
Cinders of a Lord,0,0
Carthus Pyromancy Tome,0,0
Izalith Pyromancy Tome,0,0
Loretta's Bone,0,0
Old Cell Key,0,0
Grand Archives Key,0,0
Quelana Pyromancy Tome,0,0
Grave Warden Pyromancy Tome,0,0
Golden Scroll,0,0
Braille Divine Tome of Lothric,0,0
Basin of Vows,0,0
Logan's Scroll,0,0
Sword of Avowal,0,0
Eyes of a Fire Keeper,0,0
Crystal Scroll,0,0
Jailbreaker's Key,0,0
Jailer's Key Ring,0,0
Hawkwood's Swordgrass,0,0
Contraption Key,1,0
Small Envoy Banner,1,0
Young Grass Dew,1,1
Blood of the Dark Soul,1,1
White Sign Soapstone,0,0
Dried Fingers,0,0
Red Eye Orb,0,0
Roster of Knights,0,0
Red Sign Soapstone,0,0
Divine Spear Fragment,1,1
Ritual Spear Fragment,1,1
Coiled Sword Fragment,0,0
Hello Carving,0,0
Thank you Carving,0,0
Very Good Carving,0,0
Help Me Carving,0,0
I'm Sorry Carving,0,0
Binoculars,0,0
Dragon Head Stone,0,0
Twinkling Dragon Head Stone,0,0
Dragon Torso Stone,0,0
Twinkling Dragon Torso Stone,0,0
Profaned Coal,0,0
Farron Coal,0,0
Sage's Coal,0,0
Giant's Coal,0,0
Transposing Kiln,0,0
Greirat's Ashes,0,0
Irina's Ashes,0,0
Yuria's Ashes,0,0
Mortician's Ashes,0,0
Grave Warden's Ashes,0,0
Paladin's Ashes,0,0
Excrement-covered Ashes,0,0
Xanthous Ashes,0,0
Dreamchaser's Ashes,0,0
Prisoner Chief's Ashes,0,0
Dragon Chaser's Ashes,0,0
Karla's Ashes,0,0
Cornyx's Ashes,0,0
Easterner's Ashes,0,0
Patches' Ashes,0,0
Hollow' Ashes,0,0
Orbeck's Ashes,0,0
Captain's Ashes,0,0
Old Woman's Ashes,1,0
Warriors of Sunligh,0,1
Way of Blue,0,1
Blue Sentinels,0,1
Blades of the Darkmoon,0,1
Rosaria's Fingers,0,1
Mound-Maker,0,1
Watchdogs of Farron,0,1
Aldrich Faithful,0,1
Spears of the Church,1,1
