NAME,DLC,COVENANT
Life Ring ,0,0
Life Ring +1,0,0
Life Ring +2,0,0
Life Ring +3,0,0
Sun Princess Ring,0,0
Estus Ring,0,0
Ashen Estus Ring,0,0
Chloranthy Ring,0,0
Chloranthy Ring +1,0,0
Chloranthy Ring +2,0,0
Chloranthy Ring +3,1,0
Havel's Ring,0,0
Havel's Ring +1,0,0
Havel's Ring +2,0,0
Havel's Ring +3,1,0
Ring of Favor,0,0
Ring of Favor +1,0,0
Ring of Favor +2,0,0
Ring of Favor +3,1,0
Prisoner's Chain,0,0
Ring of Steel Protection,0,0
Ring of Steel Protection +1,0,0
Ring of Steel Protection +2,0,0
Ring of Steel Protection +3,1,0
Magic Stoneplate Ring,0,0
Magic Stoneplate Ring +1,0,0
Magic Stoneplate Ring +2,0,0
Flame Stoneplate Ring,0,0
Flame Stoneplate Ring +1,0,0
Flame Stoneplate Ring +2,0,0
Thunder Stoneplate Ring,0,0
Thunder Stoneplate Ring +1,0,0
Thunder Stoneplate Ring +2,0,0
Dark Stoneplate Ring,0,0
Dark Stoneplate Ring +1,0,0
Dark Stoneplate Ring +2,0,0
Speckled Stoneplate Ring,0,0
Speckled Stoneplate Ring +1,0,0
Bloodbite Ring,0,0
Bloodbite Ring +1,0,0
Poisonbite Ring,0,0
Poisonbite Ring +1,0,0
Cursebite Ring,0,0
Fleshbite Ring,0,0
Fleshbite Ring +1,0,0
Knight's Ring,0,0
Hunter's Ring,0,0
Scholar's Ring,0,0
Priestess Ring,0,0
Covetous Gold Serpent Ring,0,0
Covetous Gold Serpent Ring +1,0,0
Covetous Gold Serpent Ring +2,0,0
Covetous Gold Serpent Ring +3,1,0
Covetous Silver Serpent Ring ,0,0
Covetous Silver Serpent Ring +1,0,0
Covetous Silver Serpent Ring +2,0,0
Covetous Silver Serpent Ring +3,1,0
Saint's Ring,0,0
Deep Ring,0,0
Darkmoon Ring,0,1
Young Dragon Ring,0,0
Bellowing Dragoncrest Ring,0,0
Great Swamp Ring,0,0
Witch's Ring,0,0
Morne's Ring,0,0
Ring of the Sun's First Born,0,0
Lingering Dragoncrest Ring,0,0
Lingering Dragoncrest Ring +1,0,0
Lingering Dragoncrest Ring +2,0,0
Sage Ring,0,0
Sage Ring +1,0,0
Sage Ring +2,0,0
Dusk Crown Ring,0,0
Leo Ring,0,0
Wolf Ring,0,1
Wolf Ring +1,0,0
Wolf Ring +2,0,0
Wolf Ring +3,1,0
Hawk Ring,0,0
Hornet Ring,0,0
Knight Slayer's Ring,0,0
Ring of the Evil Eye,0,0
Ring of the Evil Eye +1,0,0
Ring of the Evil Eye +2,0,0
Ring of the Evil Eye +3,1,0
Farron Ring,0,0
Dragonscale Ring,0,0
Horsehoof Ring,0,0
Wood Grain Ring,0,0
Wood Grain Ring +1,0,0
Wood Grain Ring +2,0,0
Flynn's Ring,0,0
Magic Clutch Ring,0,0
Lightning Clutch Ring,0,0
Fire Clutch Ring,0,0
Dark Clutch Ring,0,0
Red Tearstone Ring,0,0
Blue Tearstone Ring,0,0
Lloyd's Sword Ring,0,0
Lloyd's Shield Ring,0,0
Carthus Milring,0,0
Carthus Bloodring,0,0
Pontiff's Right Eye,0,0
Pontiff's Left Eye,0,0
Aldrich's Ruby,0,0
Aldrich's Sapphire,0,0
Silvercat Ring,0,0
Slumbering Dragoncrest Ring,0,0
Obscuring Ring,0,1
Untrue Dark Ring,0,0
Untrue White Ring,0,0
Reversal Ring,0,0
Skull Ring,0,0
Calamity Ring,0,0
Ring of Sacrifice,0,0
Chillbite Ring,1,0
