NAME,DLC,COVENANT
Heal Aid,0,0
Heal Aid,0,0
Med Heal,0,0
Great Heal,0,0
Soothing Sunlight,0,0
Replenishment,0,0
Bountiful Light,0,0
Bountiful Sunlight,0,0
Caressing Tears,0,0
Tears of Denial,0,0
Homeward,0,0
Seek Guidance,0,0
Sacred Oath,0,1
Force,0,0
Emit Force,0,0
Wrath of the Gods,0,0
Lightning Spear,0,0
Great Lightning Spear,0,1
Sunlight Spear,0,0
Lightning Stake,0,0
Lightning Storm,0,0
Divine Pillars of Light,0,0
Blessed Weapon,0,0
Lightning Blade,0,0
Darkmoon Blade,0,1
Magic Barrier,0,0
Great Magic Barrier,0,0
Dark Blade,0,0
Wov of Silence,0,0
Dead Again,0,0
Atonement,0,0
Deep Protection,0,0
Gnaw,0,0
Dorthy's Gnawing,0,0
Lifehunt Scythe,0,0
Way of White Corona,1,0
Projected Heal,1,0
Lightning Arrow,1,0
Fireball,0,0
Fire Orb,0,0
Bursting Fireball,0,0
Great Chaos Fire Orb,0,0
Chaos Bed Vestiges,0,0
Fire Surge,0,0
Fire Whip,0,0
Firestorm,0,0
Chaos Storm,0,0
Great Combustion,0,0
Sacred Flame,0,0
Profaned Flame,0,0
Poison Mist,0,0
Toxic Mist,0,0
Acid Surge,0,0
Flash Sweat,0,0
Profuse Sweat,0,0
Iron Flesh,0,0
Power Within,0,0
Carthus Beacon,0,0
Carthus Flame Arc,0,0
Warmth,0,1
Rapport,0,0
Boulder Heave,0,0
Black Flame,0,0
Black Fire Orb,0,0
Black Serpent,0,0
Floating Chaos,1,0
Seething Chaos,1,0
Flame Fan,1,0
Soul Arrow,0,0
Great Soul Arrow,0,0
Heavy Soul Arrow,0,0
Great Heavy Soul Arrow,0,0
Farron Dart,0,0
Great Farron Dart,0,0
Farron Hail,0,0
Homing Soulmass,0,0
Homing Crystal Soulmass,0,0
Crystal Hail,0,0
Soul Spear,0,0
Crystal Soul Spear,0,0
White Dragon Breath,0,0
Soul Stream Soul Greatsword,0,0
Farron Flashsword,0,0
Magic Weapon,0,0
Great Magic Weapon,0,0
Crystal Magic Weapon,0,0
Magic Shield,0,0
Great Magic Shield,0,0
Spook,0,0
Aural Decoy,0,0
Pestilent Mist,0,0
Cast Light,0,0
Repair,0,0
Hidden Weapon,0,0
Hidden Body,0,0
Chameleon,0,0
Twisted Wall of Light,0,0
Deep Souls,0,0
Great Deep Soul,0,1
Affinity,0,0
Dark Edge,0,0
Frozen Weapon,1,0
Snap Freeze,1,0
Great Soul Dregs,1,0
Old Moonlight,1,0
