RINGS:				
NAME:	DLC:	COVENANT:	DIFFICULTY:	LOCATION:
Cat Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Cat+Ring
Clever Rat's Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Clever+Rat's+Ring
Cling Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Cling+Ring
Dull Rat's Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Dull+Rat's+Ring
Eternal Warrior's Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Eternal+Warrior's+Ring
Foe's Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Foe's+Ring
Fragrant Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Fragrant+Ring
Ally's Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ally's+Ring
Graverobber's Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Graverobber's+Ring
Master's Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Master's+Ring
Regenerator's Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Regenerator's+Ring
Ring of Avarice	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Avarice
Ring of Devout Prayer	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Devout+Prayer
Plague Resistance Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Plague+Resistance+Ring
Flame Resistance Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Flame+Resistance+Ring
Gash Resistance Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Gash+Resistance+Ring
Ring of Great Strength	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Great+Strength
Ring of Herculean Strength	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Herculean+Strength
Ring of Magical Dullness	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Magical+Dullness
Ring of Magical Nature	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Magical+Nature
Ring of Magical Sharpness	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Magical+Sharpness
Ring of Poison Resistance	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Poison+Resistance
Ring of Sincere Prayer	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Sincere+Prayer
Ring of the Accursed	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+the+Accursed
Ronin's Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ronin's+Ring
Thief Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Thief+Ring
Ring of Longevity	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Longevity
Providential Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Providential+Ring
Sodden Ring	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Sodden+Ring
Ring of Uneven Scales	FALSE	FALSE	1	https://demonssouls.wiki.fextralife.com/Ring+of+Uneven+Scales
