NAME,DLC,COVENANT
Cat Ring,0,0
Clever Rat's Ring,0,0
Cling Ring,0,0
Dull Rat's Ring,0,0
Eternal Warrior's Ring,0,0
Foe's Ring,0,0
Fragrant Ring,0,0
Ally's Ring,0,0
Graverobber's Ring,0,0
Master's Ring,0,0
Regenerator's Ring,0,0
Ring of Avarice,0,0
Ring of Devout Prayer,0,0
Plague Resistance Ring,0,0
Flame Resistance Ring,0,0
Gash Resistance Ring,0,0
Ring of Great Strength,0,0
Ring of Herculean Strength,0,0
Ring of Magical Dullness,0,0
Ring of Magical Nature,0,0
Ring of Magical Sharpness,0,0
Ring of Poison Resistance,0,0
Ring of Sincere Prayer,0,0
Ring of the Accursed,0,0
Ronin's Ring,0,0
Thief Ring,0,0
Ring of Longevity,0,0
Providential Ring,0,0
Sodden Ring,0,0
Ring of Uneven Scales,0,0
